list,keyword,volume,cpc_low_sek,cpc_high_sek
matambre-cortes,matambre de cerdo precio,50,,
matambre-cortes,matambre de pollo,50,,
matambre-cortes,matambre pizza horno,50,,
matambre-cortes,matambrito de cerdo precio,50,,
matambre-cortes,arrollado de cerdo,40,,
matambre-cortes,matambrito de cerdo al horno,40,,
matambre-cortes,matambre a la olla,30,,
matambre-cortes,matambre arrollado de la abuela,30,,
matambre-cortes,matambre atado,30,,
matambre-cortes,matambre precio por kilo,30,,
matambre-cortes,matambre que es,30,,
matambre-cortes,matambre relleno de carne,30,,
matambre-cortes,matambre a la leche,20,,
matambre-cortes,caldo de matambre,20,,
matambre-cortes,matambre a la napolitana,20,,
matambre-cortes,matambre de cerdo al horno,20,,
matambre-cortes,matambre de cerdo que parte es,20,,
matambre-cortes,matambre de chancho,20,,
matambre-cortes,matambre de vaca precio,20,,
matambre-cortes,matambre vacuno a la pizza,20,,
matambre-cortes,matambrito de cerdo a la parrilla,20,,
matambre-cortes,pizza a la matambre,20,,
matambre-cortes,relleno de matambre,20,,
matambre-cortes,tortuguita de chocolate,20,,
cerdo,bondiola de cerdo,1900,,
cerdo,bondiola,1600,,
cerdo,panceta,1600,,
cerdo,lechón,880,,
cerdo,costilla de cerdo,720,,
cerdo,costillas de cerdos,720,,
cerdo,pernil de cerdo,390,,
cerdo,bondiola de vaca,390,,
cerdo,panceta de cerdo,260,,
cerdo,lechon a la parrilla,260,,
cerdo,matambritos,260,,
cerdo,pernil,210,,
cerdo,costillas de cerdo al horno,210,,
cerdo,costillar precio,210,,
cerdo,costillar de cerdo precio,170,,
cerdo,panceta ahumada,170,,
cerdo,costilla grill de cerdo,170,,
cerdo,carré de cerdo,140,,
cerdo,carne de chancho,140,,
cerdo,costillar,140,,
cerdo,costillar al horno,140,,
cerdo,codillo de cerdo,110,,
cerdo,bondiola de cerdo precio,110,,
cerdo,codillos de cerdo,110,,
cerdo,bondiolas de cerdo al horno,90,,
cerdo,costilla a la parrilla,90,,
cerdo,tocino de cerdo,70,,
cerdo,pernil de cerdo al horno,70,,
cerdo,lechon precio,70,,
cerdo,costillar de cerdo a la parrilla,70,,
cerdo,bondiola que es,70,,
cerdo,precio de costillar,70,,
cerdo,costillar de res,50,,
cerdo,lechon asado,50,,
cerdo,asado de costillar,50,,
cerdo,asado lechon,50,,
cerdo,bondiola desmechada,50,,
cerdo,costilla de chancho,50,,
cerdo,costilla el kilo,50,,
cerdo,costillas de cerdo en barbacoa,50,,
cerdo,lechon a la estaca,50,,
cerdo,bacon es panceta,40,,
cerdo,bacon panceta,40,,
cerdo,costilla de cerdo a la olla,40,,
cerdo,lechon faenado,40,,
cerdo,lechon vivo,40,,
cerdo,lechón vivo,40,,
cerdo,panceta bacon,40,,
cerdo,pechito de cerdo,30,,
cerdo,panceta de cerdo precio,30,,
cerdo,costillar ahumado,30,,
cerdo,asar costillas,30,,
cerdo,bondiola de cerdo que es,30,,
cerdo,carne costilla,30,,
cerdo,carne de chancho precio,30,,
cerdo,costilla asada,30,,
cerdo,costilla de lomo,30,,
cerdo,costilla para asado,30,,
cerdo,costilla vacuna al horno,30,,
cerdo,costillas ahumada,30,,
cerdo,costillas de vaca al horno,30,,
cerdo,panceta tocino,30,,
cerdo,pernil ahumado,30,,
cerdo,tiras de costilla,30,,
cerdo,costillas bbq,20,,
cerdo,pernil de cerdo precio,20,,
cerdo,bondiola a la cerveza,20,,
cerdo,costillitas bbq,20,,
cerdo,codillo,20,,
cerdo,costillas de ternera,20,,
cerdo,ribs de cerdo,20,,
cerdo,panceta precio,20,,
cerdo,lechon entero,20,,
cerdo,panceta fresca,20,,
cerdo,bondiola a la parrilla,20,,
cerdo,bondiola ahumada,20,,
cerdo,bondiola de cerdo a la parrilla,20,,
cerdo,bondiola precio,20,,
cerdo,costilla a la olla,20,,
cerdo,costilla al disco,20,,
cerdo,costilla al horno con papel aluminio,20,,
cerdo,costilla de cerdo agridulce,20,,
cerdo,costilla de cerdo cruda,20,,
cerdo,costilla de oveja,20,,
cerdo,costilla deshuesada,20,,
cerdo,costillar a la olla,20,,
cerdo,costillas a la estaca,20,,
cerdo,costillas de oveja,20,,
cerdo,grasa de chancho precio,20,,
cerdo,lechon al horno,20,,
cerdo,panceta cruda,20,,
pollo-pescado-otros,surubí,2900,,
pollo-pescado-otros,dorado (mixed intent: fish and brands),2900,,
pollo-pescado-otros,cordero,1600,,
pollo-pescado-otros,suprema de pollo,880,14.89,14.89
pollo-pescado-otros,alitas de pollo,390,,
pollo-pescado-otros,alas de pollo,390,,
pollo-pescado-otros,pacu pescado,390,,
pollo-pescado-otros,pacú pescado,390,,
pollo-pescado-otros,alitas,320,,
pollo-pescado-otros,alita de pollo,320,,
pollo-pescado-otros,ala de pollo,320,,
pollo-pescado-otros,pescado pacu,260,,
pollo-pescado-otros,pacu pez,210,,
pollo-pescado-otros,pollo fritas,210,,
pollo-pescado-otros,pollo entero,170,,
pollo-pescado-otros,cabrito,170,,
pollo-pescado-otros,carne de bufala,140,,
pollo-pescado-otros,pacú,110,,
pollo-pescado-otros,carne de cordero,110,,
pollo-pescado-otros,alitas al horno,110,,
pollo-pescado-otros,alas en el horno,110,,
pollo-pescado-otros,surubi pez,110,,
pollo-pescado-otros,pollo entero precio,70,,
pollo-pescado-otros,cordero oveja,70,,
pollo-pescado-otros,suprema rellena,70,,
pollo-pescado-otros,alitas de pollo al horno,50,,
pollo-pescado-otros,alitas de pollo precio,50,,
pollo-pescado-otros,alas de pollo a la parrilla,50,,
pollo-pescado-otros,suprema de pollo rellena,50,,
pollo-pescado-otros,pollo a la barbacoa,40,,
pollo-pescado-otros,pollo entero al horno,40,,
pollo-pescado-otros,alita a la parrilla,40,,
pollo-pescado-otros,dorado de mar,40,,
pollo-pescado-otros,pollo entero en el horno,40,,
pollo-pescado-otros,pollo entero horneado,40,,
pollo-pescado-otros,pata muslo,30,,
pollo-pescado-otros,salsa búfalo,30,,
pollo-pescado-otros,cordero horno,30,,
pollo-pescado-otros,el pacu,30,,
pollo-pescado-otros,supremas napolitanas,30,,
pollo-pescado-otros,carne de búfalo,20,,
pollo-pescado-otros,cordero asado,20,,
pollo-pescado-otros,alitas de pollo fritas,20,,
pollo-pescado-otros,alas de pollo en salsa,20,,
pollo-pescado-otros,asado de oveja,20,,
pollo-pescado-otros,cordero parrilla,20,,
pollo-pescado-otros,pacu pescado de rio,20,,
pollo-pescado-otros,pata muslo de pollo,20,,
pollo-pescado-otros,receta con suprema de pollo,20,,
pollo-pescado-otros,suprema de pollo a la crema,20,,
pollo-pescado-otros,suprema de pollo a la mostaza,20,,
pollo-pescado-otros,alitas bbq,10,,
pollo-pescado-otros,alitas picantes,10,,
pollo-pescado-otros,salsa para alitas,10,,
pollo-pescado-otros,cordero entero,10,,
pollo-pescado-otros,cordero guisado,10,,
pollo-pescado-otros,alitas en freidora de aire,10,,
